"Family","Diet","n"
"Acanthuridae","Grazer",670
"Acanthuridae","Browser",163
"Acanthuridae","Planktivore",79
"Chaetodontidae","Invertivore",21
"Chaetodontidae","Planktivore",10
"Holocentridae","Planktivore",44
"Holocentridae","Invertivore",38
"Holocentridae","Pursuit Piscivore",30
"Labridae","Invertivore",362
"Labridae","Pursuit Piscivore",323
"Labridae","Planktivore",27
"Lethrinidae","Invertivore",85
"Lethrinidae","Pursuit Piscivore",81
"Mullidae","Invertivore",63
"Mullidae","Pursuit Piscivore",14
"Pomacanthidae","Grazer",5
"Pomacanthidae","Invertivore",4
"Pomacentridae","Planktivore",60
"Pomacentridae","Invertivore",1
"Scaridae","Scraper",474
"Scaridae","Browser",3
